                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3087,                 2.1397,                 1.7936,                0.54218,                0.55833,                0.49613,                0.25087,                 1.8897,                 4.1432,                 3.0867,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.1712,                 1.3001,                 1.5659,                0.65317,                0.64167,                0.66522,                0.37478,                 1.9474,                 3.4605,                 2.5023,             0.00017679,             0.00017679,             0.00017679
