2023-09-22 19:30:00,816 Starting training...
2023-09-22 19:33:09,968 Epoch: 3, Batch: 10, Loss: [5.562541312981173e-12, 1.0]
2023-09-22 19:33:12,787 Epoch: 3, Batch: 11, Loss: [5.948935566379987e-09, 1.0]
2023-09-22 19:33:15,552 Epoch: 3, Batch: 12, Loss: [7.123635015204854e-10, 1.0]
2023-09-22 19:33:18,392 Epoch: 3, Batch: 13, Loss: [1.3068665039028815e-09, 1.0]
2023-09-22 19:33:21,168 Epoch: 3, Batch: 14, Loss: [3.7549141325143864e-06, 1.0]
2023-09-22 19:33:24,017 Epoch: 3, Batch: 15, Loss: [9.610421614070219e-08, 1.0]
2023-09-22 19:33:26,890 Epoch: 3, Batch: 16, Loss: [6.63977516524028e-07, 1.0]
2023-09-22 19:33:33,914 Epoch: 4, Batch: 0, Loss: [0.16419391334056854, 0.96875]
2023-09-22 19:33:36,721 Epoch: 4, Batch: 1, Loss: [0.1096419021487236, 0.96875]
2023-09-22 19:33:39,582 Epoch: 4, Batch: 2, Loss: [9.802253043744713e-05, 1.0]
2023-09-22 19:33:42,337 Epoch: 4, Batch: 3, Loss: [6.659593054791912e-08, 1.0]
2023-09-22 19:33:45,214 Epoch: 4, Batch: 4, Loss: [8.55382279764394e-13, 1.0]
2023-09-22 19:33:47,993 Epoch: 4, Batch: 5, Loss: [1.3288557754176367e-11, 1.0]
2023-09-22 19:33:50,822 Epoch: 4, Batch: 6, Loss: [5.4050087072710085e-08, 1.0]
2023-09-22 19:33:53,674 Epoch: 4, Batch: 7, Loss: [6.416826792143837e-11, 1.0]
2023-09-22 19:33:56,483 Epoch: 4, Batch: 8, Loss: [0.09995827078819275, 0.96875]
2023-09-22 19:33:59,297 Epoch: 4, Batch: 9, Loss: [1.5538596798148063e-10, 1.0]
2023-09-22 19:34:02,118 Epoch: 4, Batch: 10, Loss: [0.44341370463371277, 0.96875]
2023-09-22 19:34:04,975 Epoch: 4, Batch: 11, Loss: [1.6120012269471573e-10, 1.0]
2023-09-22 19:34:07,766 Epoch: 4, Batch: 12, Loss: [0.007927941158413887, 1.0]
2023-09-22 19:34:10,573 Epoch: 4, Batch: 13, Loss: [1.8332181639379996e-07, 1.0]
2023-09-22 19:34:13,438 Epoch: 4, Batch: 14, Loss: [1.6517165413176826e-10, 1.0]
2023-09-22 19:34:16,261 Epoch: 4, Batch: 15, Loss: [4.488461229357199e-07, 1.0]
2023-09-22 19:34:19,143 Epoch: 4, Batch: 16, Loss: [3.2155194276128896e-06, 1.0]
2023-09-22 19:34:24,456 Epoch: 5, Batch: 0, Loss: [0.052159328013658524, 0.96875]
2023-09-22 19:34:27,326 Epoch: 5, Batch: 1, Loss: [0.0003572680288925767, 1.0]
2023-09-22 19:34:30,195 Epoch: 5, Batch: 2, Loss: [8.706197695573792e-05, 1.0]
2023-09-22 19:34:33,164 Epoch: 5, Batch: 3, Loss: [3.000857304868987e-07, 1.0]
2023-09-22 19:34:36,086 Epoch: 5, Batch: 4, Loss: [5.586909537669271e-06, 1.0]
2023-09-22 19:34:39,009 Epoch: 5, Batch: 5, Loss: [2.6368306862423196e-05, 1.0]
2023-09-22 19:34:41,834 Epoch: 5, Batch: 6, Loss: [6.1797743455827e-07, 1.0]
2023-09-22 19:34:44,650 Epoch: 5, Batch: 7, Loss: [1.8447709635438514e-06, 1.0]
2023-09-22 19:34:47,451 Epoch: 5, Batch: 8, Loss: [9.231938747689128e-06, 1.0]
2023-09-22 19:34:50,245 Epoch: 5, Batch: 9, Loss: [0.00018134633137378842, 1.0]
2023-09-22 19:34:53,093 Epoch: 5, Batch: 10, Loss: [0.021045977249741554, 1.0]
2023-09-22 19:34:55,990 Epoch: 5, Batch: 11, Loss: [5.777646379101498e-07, 1.0]
2023-09-22 19:34:58,804 Epoch: 5, Batch: 12, Loss: [2.3474744370588496e-09, 1.0]
2023-09-22 19:35:01,637 Epoch: 5, Batch: 13, Loss: [1.2229455226275832e-09, 1.0]
2023-09-22 19:35:04,411 Epoch: 5, Batch: 14, Loss: [1.6435078853405116e-09, 1.0]
2023-09-22 19:35:07,307 Epoch: 5, Batch: 15, Loss: [2.992689082659261e-11, 1.0]
2023-09-22 19:35:10,108 Epoch: 5, Batch: 16, Loss: [1.978120792167637e-11, 1.0]
2023-09-22 19:35:15,307 Epoch: 6, Batch: 0, Loss: [6.8555577881213026e-12, 1.0]
2023-09-22 19:35:18,097 Epoch: 6, Batch: 1, Loss: [7.415360769869039e-09, 1.0]
2023-09-22 19:35:20,930 Epoch: 6, Batch: 2, Loss: [6.611218083402148e-12, 1.0]
2023-09-22 19:35:23,739 Epoch: 6, Batch: 3, Loss: [1.335462990192937e-10, 1.0]
2023-09-22 19:35:26,561 Epoch: 6, Batch: 4, Loss: [3.2990493536999566e-07, 1.0]
2023-09-22 19:35:29,416 Epoch: 6, Batch: 5, Loss: [0.0011117449030280113, 1.0]
2023-09-22 19:35:32,340 Epoch: 6, Batch: 6, Loss: [2.7350604003828494e-09, 1.0]
2023-09-22 19:35:35,200 Epoch: 6, Batch: 7, Loss: [0.4835757911205292, 0.96875]
2023-09-22 19:35:37,978 Epoch: 6, Batch: 8, Loss: [6.446994493813918e-09, 1.0]
2023-09-22 19:35:40,810 Epoch: 6, Batch: 9, Loss: [8.662952950544422e-07, 1.0]
2023-09-22 19:35:43,593 Epoch: 6, Batch: 10, Loss: [4.804225767207626e-11, 1.0]
2023-09-22 19:35:46,400 Epoch: 6, Batch: 11, Loss: [0.00023307833180297166, 1.0]
2023-09-22 19:35:49,325 Epoch: 6, Batch: 12, Loss: [2.3243403290962306e-07, 1.0]
2023-09-22 19:35:52,111 Epoch: 6, Batch: 13, Loss: [2.4694637090760807e-07, 1.0]
2023-09-22 19:35:54,963 Epoch: 6, Batch: 14, Loss: [3.8724423667702013e-10, 1.0]
2023-09-22 19:35:57,896 Epoch: 6, Batch: 15, Loss: [1.6095739852062252e-08, 1.0]
2023-09-22 19:36:00,775 Epoch: 6, Batch: 16, Loss: [4.988367052760623e-09, 1.0]
2023-09-22 19:36:07,834 Epoch: 7, Batch: 0, Loss: [2.0901568859699182e-05, 1.0]
2023-09-22 19:36:10,705 Epoch: 7, Batch: 1, Loss: [1.3225768498159596e-06, 1.0]
2023-09-22 19:36:13,615 Epoch: 7, Batch: 2, Loss: [6.125280282986978e-10, 1.0]
2023-09-22 19:36:16,524 Epoch: 7, Batch: 3, Loss: [7.680145245103631e-06, 1.0]
2023-09-22 19:36:19,373 Epoch: 7, Batch: 4, Loss: [8.33612575661391e-05, 1.0]
2023-09-22 19:36:22,249 Epoch: 7, Batch: 5, Loss: [1.319372273655972e-07, 1.0]
